time,open,high,low,close,volume
2020-02-10 20:00:00,3.88,3.88,3.88,3.88,944
2020-02-10 19:59:00,3.88,3.88,3.88,3.88,218
2020-02-10 19:58:00,3.88,3.88,3.88,3.88,210
2020-02-10 19:57:00,3.88,3.88,3.88,3.88,4550
2020-02-10 19:56:00,3.88,3.88,3.88,3.88,3645
2020-02-10 19:55:00,3.87,3.87,3.87,3.87,3900
2020-02-10 19:54:00,3.87,3.87,3.87,3.87,607
2020-02-10 19:53:00,3.87,3.87,3.87,3.87,2600
2020-02-10 19:51:00,3.86,3.87,3.86,3.87,1657
2020-02-10 19:47:00,3.87,3.87,3.87,3.87,8171
2020-02-10 19:44:00,3.87,3.87,3.87,3.87,1516
2020-02-10 19:43:00,3.87,3.87,3.87,3.87,4281
2020-02-10 19:42:00,3.86,3.86,3.86,3.86,1403
2020-02-10 19:41:00,3.85,3.86,3.85,3.86,3173
2020-02-10 19:39:00,3.86,3.86,3.86,3.86,202
2020-02-10 19:38:00,3.85,3.85,3.85,3.85,3185
2020-02-10 19:37:00,3.86,3.86,3.85,3.85,1400
2020-02-10 19:36:00,3.85,3.85,3.85,3.85,1293
2020-02-10 19:35:00,3.85,3.86,3.85,3.86,4800
2020-02-10 19:34:00,3.86,3.86,3.86,3.86,300
2020-02-10 19:33:00,3.85,3.85,3.85,3.85,408
2020-02-10 19:32:00,3.85,3.85,3.85,3.85,2005
2020-02-10 19:31:00,3.85,3.85,3.85,3.85,100
2020-02-10 19:27:00,3.86,3.86,3.86,3.86,350
2020-02-10 19:23:00,3.85,3.85,3.85,3.85,5000
2020-02-10 19:22:00,3.86,3.86,3.86,3.86,448
2020-02-10 19:21:00,3.85,3.85,3.85,3.85,1400
2020-02-10 19:20:00,3.85,3.85,3.85,3.85,3528
2020-02-10 19:13:00,3.85,3.85,3.85,3.85,300
2020-02-10 19:07:00,3.86,3.86,3.86,3.86,505
2020-02-10 19:02:00,3.85,3.85,3.85,3.85,502
